PDF Link,Document Title,Interactive vs Reactive,History,Mapping Strategy,Emotional Model,N,Emotion Critical ,Purpose,Project Stage,What Robot,Abstract,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=647007,A model of fuzzy emotion and behaviour selection for an autonomous mobile robot,Fuzzy Rule Base,N,Human and external to internal process,CUstom Discrete,4,Core,General Interaction,Prototype,Digital,"This paper proposes a fuzzy model of emotion and behaviours selection for an autonomous mobile robot. Conventional behaviour-based robots can only exhibit a single behaviour or action after sensing an external event. In order to make a robot to adapt to its environment and to exhibit more complex behaviours, we try to model animal emotions and behaviours by a set of Fril's support logic fuzzy rules. This set of fuzzy rules will allow the robot to control and to select different behaviours depending on the environment and its experience. An summary of the calculus of support logic is given in this paper.",K. H. L. Ho,"RIKEN, Inst. of Phys. & Chem. Res., Saitama, Japan",Proceedings 6th IEEE International Workshop on Robot and Human Communication. RO-MAN'97 SENDAI,,1997,,,332,337,,,,,,Mobile robots;Fuzzy control;Robot sensing systems;Fuzzy sets;Mood;Calculus;Humans;Chemicals;Robot control;Batteries,mobile robots;adaptive systems;fuzzy logic;intelligent control;fuzzy control,fuzzy emotion model;fuzzy behaviour model;autonomous mobile robot;behaviour-based robots;animal emotion;Fril support logic fuzzy rules,,1,21,,,,,IEEE,IEEE Conferences,,
,A multimodal and multilevel system for robotics treatment of autism in children,Rule-based Computational Model,N,User Emotion to emotion output,Custom Discrete,4,Core,Autism,Implemented and Evaluated,Zeno R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6505128,A mutual effect model of desires and emotions in emotion for robots with growth function,Self-organizing map,N,Human and external to emotion output,Custom Discrete,7,Core,General Interaction,Prototype,Digital,"In this paper, we propose an emotion generation model for robots that considers the mutual effects of desires and emotions to enable generation of complex emotions like creature. Robots of conventional model had a problem that these robots are unable to express complex emotions like creature. This problem can lead to indifference in many people. Hence, to solve this problem, we attempt to realize the mutual effects of desires and emotions to robots in the proposed model. In the proposed model, the effects are expressed using the internal-states of a robot, such as physiological factors. By considering these effects, the proposed model can generate complex emotions like creature. These emotions are influenced by previously expressed emotions, the present state, and present desires of the robot. In addition, the proposed model distinguishes emotions from feelings using characteristics of emotions and feelings. The emotions of the proposed model are based on M. Lewis's study that focused on the development of emotions[1]. Feelings in the proposed model are stored as the internal-states of the robot. In this paper, we perform simulations with the proposed model to verify that it expresses complex emotions like creature. Our simulation results confirmed that the proposed model can express more complex and realistic emotions than those expressed by conventional models.",H. Nagano; M. Harata; M. Tokumaru,"Graduate School of Kansai University, 3-3-35 Yamate-cho, Suita-shi, Osaka 564-8680, Japan; Graduate School of Kansai University, 3-3-35 Yamate-cho, Suita-shi, Osaka 564-8680, Japan; Kansai University, 3-3-35 Yamate-cho, Suita-shi, Osaka 564-8680, Japan","The 6th International Conference on Soft Computing and Intelligent Systems, and The 13th International Symposium on Advanced Intelligence Systems",,2012,,,197,202,,,,,robot;self-organizing maps;emotion;desire;emotion generation;growth functions;mutual effects,,artificial intelligence;robots,desire effect;emotion effect;emotion generation model;robot growth function;robot physiological factor;robot emotion development,,1,5,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1242146,"A new mental model for humanoid robots for human friendly communication introduction of learning system, mood vector and second order equations of emotion",Rule-based BIology Model,Y,Human and external to emotion output,Eckman,6,Component ,General interaction,Prototype,WE-3,"The authors have been developing human-like head robots in order to develop new head mechanisms and functions for a humanoid robot that has the ability to communicate naturally with a human by expressing human-like emotion. Furthermore, the interaction between humans and robots is one of the essential factors for the Neuro-Robotics. We believed that the Mental Dynamics caused by the stimuli from the internal and external environment is important in expressing emotion. Therefore, we newly developed a human-like head robot WE-4 (Waseda Eye No.4) in 2002. The ""Learning System"", the ""Mood Vector"" and the ""Second Order Equations of Emotion"" were introduced to the mental model of the robot. Moreover, an internal clock was introduced as an autonomic nerve system to express the activation component of the Mood Vector. And, we realized the expression of mental transition caused by the stimuli from the internal and external environment of the robot. In this paper, we describe the new mental model of a human-like head robot WE-4.",H. Miwa; T. Okuchi; K. Itoh; H. Takanobu; A. Takanishi,"Graduate Sch. of Sci. & Eng., Waseda Univ., Tokyo, Japan; Graduate Sch. of Sci. & Eng., Waseda Univ., Tokyo, Japan; Graduate Sch. of Sci. & Eng., Waseda Univ., Tokyo, Japan; NA; NA",2003 IEEE International Conference on Robotics and Automation (Cat. No.03CH37422),,2003,3,,3588,3593 vol.3,,,,,,Cognitive science;Humanoid robots;Humans;Learning systems;Mood;Equations;Robot kinematics;Service robots;Robot sensing systems;Eyes,artificial intelligence;learning systems;intelligent robots;man-machine systems;neurophysiology;interactive systems,mental model;humanoid robots;human friendly communication;learning system;mood vector;second order equation of motion;human-like head robots;human-like emotion;human-machine interaction;neuro robotics;mental dynamics;autonomic nerve system;intelligent robots,,52,14,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7337841,A proposal of model of emotional expressions for robot learning with human,Factor table,N,Non-emotion stimuli to emotion output,Circumplex,24,Core,General Interaction,Model,Digital,"As robot technology grows, more attention is being paid to educational-support robots that assist in learning. For example, an educational-support robot may support students in their school life or help them learn other languages. However, users tend to lose interest in educational-support robots. To solve this problem, a model of emotional expressions has been proposed in human-agent interaction studies. This model, in which the screen agent is programmed to express emotions autonomously, has proven to be effective for interactions between agents and humans. Thus, this paper proposes an emotional expression model for use with educational-support robots. Using simulations, this paper also investigates the number of emotions that a robot can express.",F. Jimenez; T. Yoshikawa; T. Furuhashi; M. Kanoh,"Graduate School of Engineering, Nagoya University, Japan; Graduate School of Engineering, Nagoya University, Japan; Graduate School of Engineering, Nagoya University, Japan; School of Engineering, Chukyo University, Japan",2015 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2015,,,1,5,,,,,,Data models;Robot kinematics;Electronic mail;Collaborative work;Standards;Collaboration,educational robots;humanoid robots;linguistics,emotional expressions;robot technology;educational-support robots;school life;emotional expression model;human-agent interaction studies;simulations;robot learning;language learning,,,12,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250127,A robot emotion model with history,Markovain emotional model,Y,Human and internal to emotion output,Discrete Custom,7,Core ,General Interaction,Implemented and Evaluated,Digital,"In this paper, we present a novel robot emotion model that can be used for social robots engaged in human-robot interactions (HRI). The proposed model effectively determines the robot's emotional state based on its own emotion history, the affect of the user whom the robot is interacting with, and the HRI task at hand. The model uniquely uses an nth order Markov Model (MM) to track the robot's emotion history during interactions. Simulated experiments were conducted using the robot emotion model to persuade different users to comply with various tasks. The results showed that the model is able to effectively determine a robot's emotion based on different input scenarios. Furthermore, the novel use of emotion history allows the robot emotion model to be trained faster.",X. Zhang; S. Alves; G. Nejat; B. Benhabib,"Autonomous Systems and Biomechatronics Laboratory, Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, ON M5S 3G8, Canada; Autonomous Systems and Biomechatronics Laboratory, Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, ON M5S 3G8, Canada; Autonomous Systems and Biomechatronics Laboratory, Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, ON M5S 3G8, Canada; Autonomous Systems and Biomechatronics Laboratory, Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, ON M5S 3G8, Canada",2017 IEEE International Symposium on Robotics and Intelligent Sensors (IRIS),,2017,,,230,235,,,,,robot emotions;human-robot-interaction;nth order Markov model;emotional history,History;Robot sensing systems;Markov processes;Computational modeling;Probability distribution,emotion recognition;human-robot interaction;man-machine systems;Markov processes,social robots;human-robot interactions;emotion history;HRI;robot emotional state;nth order Markov model;robot emotion model;MM,,2,16,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4651172,A robotic KANSEI communication system based on emotional synchronization,Factor table,N,User Emotion to emotion output,Circumplex,NA,Core,General Interaction,Implemented and Evaluated,Kamin_FA1,"Human-robot communication is an important subject for housekeeping, elderly care and entertainment robots. To make a natural communication entrainment between human and robot emotions plays a vital role. From this view point we propose to make a KANSEI communication system based on emotional synchronization. We developed a robotic KANSEI communication system using entrainment of dynamics, and its effectiveness was examined by experiments of human-robot communication. The robotic emotion was entrained to human emotion by using a vector field of dynamics. The robotic facial expression using a communication robot ldquoKamin_FA1rdquo was realized dynamically based on the robotic emotion. In the experiment of communication, the human impression was changed by the strength of synchronization of robot. Then we confirmed that this method could utilize human-robot communication to keep a comfortable state.",T. Usui; K. Kume; M. Yamano; M. Hashimoto,"Shinshu University, Japan; Shinshu University, Japan; Shinshu University, Japan; Shinshu University, Japan",2008 IEEE/RSJ International Conference on Intelligent Robots and Systems,,2008,,,3344,3349,,,,,,Robots;Synchronization;Humans;Communication systems;Design methodology;Emotion recognition;Polynomials,emotion recognition;human-robot interaction;robot vision,robotic KANSEI communication system;emotional synchronization;human-robot communication;elderly care robots;entertainment robots;housekeeping robots;robotic emotion;robotic facial expression;robot synchronization,,3,12,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5584383,A self-sufficiency model using urge system,Rule-based Computational Model,Y,Non-emotion stimuli to emotion output,Eckman,6,Core,General Interaction,Implemented and Evaluated,Ifbot,"The urge theory, in which emotion constitutes an autonomous system, is used to model a self-sufficiency system for communication robots. Using this model, a robot can convey its psychological and physiological conditions to the user through facial expressions, voice, behavior, and other means thereby producing psychological interaction with the user.",T. Ando; M. Kanoh,"Graduate School of Computer and Cognitive Sciences, Chukyo University, 101 Tokodachi, Kaizu-cho, Toyota 470-0393, Japan; Dept. of Mechanics and Information Technology, School of Information Science and Technology, Chukyo University, 101 Tokodachi, Kaizu-cho, Toyota 470-0393, Japan",International Conference on Fuzzy Systems,,2010,,,1,6,,,,,,Cognition;Decision making;Robots;Color;Psychology;Computational modeling;Pediatrics,emotion recognition;human-robot interaction,self-sufficiency model;urge system;communication robots;psychological interaction;psychological condition;physiological condition;urge theory,,3,8,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7090356,A situation-aware action selection based on individual's preference using emotion estimation,Factor table,N,Human and external to internal process,Eckman,6,Core,General Interaction,Implemented and Evaluated,Mofmof,"Long-term relationships between humans and robots will expand in the future. We therefore consider that an affinity to robots is one of the important components of a stable relationship. In this paper, we propose an action selection system for robots. We expect the system to select an appropriate action that matches human's individual preference. We used an emotion estimation system to achieve this. This is an approach to create an affinity to robots. As a human's preference will be affected by their emotions, we used emotion estimation to learn these preferences. In this paper, we outline the proposed system, experiments, and evaluation of its efficacy. We performed two types of experiments using a simulated robot over one week and four weeks. In each of the experiments, the robot was varying its behaviors, based on learning of individual's preferences.",K. Kumagai; J. Baek; I. Mizuuchi,"Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, 2-24-16 Nakacho Koganei, Tokyo 184-8588, Japan; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, 2-24-16 Nakacho Koganei, Tokyo 184-8588, Japan; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, 2-24-16 Nakacho Koganei, Tokyo 184-8588, Japan",2014 IEEE International Conference on Robotics and Biomimetics (ROBIO 2014),,2014,,,356,361,,,,,,Robots;Estimation;Face;Motion pictures;Meteorology;Mathematical model;Histograms,emotion recognition;human-robot interaction,situation-aware action selection;long-term human-robot relationships;stable relationship;human preference;emotion estimation system;robot affinity,,2,15,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5223189,A Soothing Software Robot: Modeling Users' Emotions from Utterances,Rule-based Computational Model,N,Non-emotion stimuli to emotion output,Custom Discrete,8,Core,General Interaction,Implemented and Evaluated,Lea,"In stressful modern societies, robot therapy has attracted attention. This therapy consists of talking, touching, and interacting with a robot, like a pet, in order to obtain comfort. Some such pet robots have already been built. In order to feel comforted, not only must robots have emotions but also they should interpret human emotions and be considerate of others. The software named ""Lea"" has two original concepts that are an emotion dictionary and a behavior database. Lea receives voice input, and a graphical user interface (GUI) displays text and expressive facial graphics. Experiments with Lea have shown that 79% of people reacted positively in spite of lowness that is 57% adequacy of reactions. It is considered that cuteness and friendliness redeemed inappropriate reactions. It issues that enhancing the accuracy of inferring the userpsilas emotion and deciding the reaction in the future.",Y. Tsuburaya; H. T. Chaminda; A. Saito; M. Osano,"Software Eng. Lab., Univ. of Aizu, Aizuwakamatsu, Japan; Software Eng. Lab., Univ. of Aizu, Aizuwakamatsu, Japan; Software Eng. Lab., Univ. of Aizu, Aizuwakamatsu, Japan; Software Eng. Lab., Univ. of Aizu, Aizuwakamatsu, Japan",2009 International Conference on Biometrics and Kansei Engineering,,2009,,,219,223,,,,,kansei engineering;soft robots;human emotions;user interaction;personal pet;soothing therapy,Humans;Service robots;Pediatrics;Animals;Software engineering;Medical treatment;Positron emission tomography;Protection;Laboratories;Computer architecture,artificial intelligence;emotion recognition;graphical user interfaces;human computer interaction;software agents,software robot;users emotion modelling;robot therapy;Lea software;emotion dictionary;behavior database;graphical user interface;GUI display;facial graphic display,,1,11,,,,,IEEE,IEEE Conferences,,
